County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index
Saluda County, SC,26.4,14.8,58.0,1.1,0.571553
Lenoir County, NC,40.9,7.1,50.6,1.1,0.571432
Finney County, KS,3.1,47.9,44.3,1.5,0.571327
Lubbock County, TX,7.8,33.4,55.8,1.6,0.570089
Prince George County, VA,32.4,7.2,56.5,2.9,0.569355
Monterey County, CA,3.6,56.8,31.6,3.7,0.569329
Pinal County, AZ,4.8,29.0,58.2,2.8,0.569087
Howard County, TX,7.0,39.4,52.0,1.6,0.568861
Refugio County, TX,6.8,48.7,43.5,1.4,0.568622
Chattahoochee County, GA,18.5,15.1,61.0,3.8,0.568621
Evans County, GA,30.9,11.9,56.7,1.2,0.568559
St. Lucie County, FL,20.0,17.2,60.1,2.0,0.568454
Long County, GA,26.1,11.8,59.0,3.6,0.568373
Grimes County, TX,16.5,22.6,59.5,1.4,0.567388
St. Mary Parish, LA,32.7,6.2,56.7,1.8,0.566763
Nacogdoches County, TX,18.4,18.5,60.4,1.6,0.56654
Vance County, NC,50.7,7.0,41.4,1.3,0.566401
New Castle County, DE,24.7,9.2,60.1,2.3,0.56628
Gonzales County, TX,7.7,49.1,43.2,1.0,0.565984
Garza County, TX,7.3,48.3,44.2,0.7,0.565915
Adams County, MS,53.3,7.6,38.0,1.1,0.565573
Yakima County, WA,1.5,47.0,45.7,2.8,0.565561
Russell County, AL,42.3,4.9,50.3,2.3,0.565034
Martinsville city, VA,45.0,4.4,48.0,2.0,0.564655
Bastrop County, TX,8.0,34.2,55.8,2.0,0.564482
Colorado County, TX,13.3,27.9,58.3,1.2,0.564287
Wake County, NC,21.4,10.0,61.3,2.3,0.56412
Dooly County, GA,49.9,6.8,42.7,0.9,0.563911
Glades County, FL,13.5,21.8,60.6,0.9,0.563845
Texas County, OK,3.3,45.7,47.4,1.7,0.56384
Anderson County, TX,21.5,16.9,60.2,1.5,0.562471
Richmond County, NC,31.0,6.3,58.0,2.0,0.562048
Suffolk city, VA,43.0,3.5,50.1,2.3,0.562004
Halifax County, NC,53.1,2.7,39.2,1.2,0.561931
DeWitt County, TX,9.6,33.8,56.1,1.3,0.561553
Choctaw County, OK,11.0,3.6,62.6,6.8,0.561534
Newton County, GA,42.5,4.8,50.6,1.9,0.560536
Okfuskee County, OK,7.9,4.1,62.1,6.7,0.560324
Jefferson County, OR,0.8,19.9,60.2,3.3,0.560293
Dillon County, SC,46.5,2.5,47.1,1.8,0.560247
