County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index
Taylor County,TX,7.8,23.1,65.8,2.5,0.506541
Terrell County,GA,60.2,2.4,36.1,1.2,0.506501
Bowie County,TX,24.5,7.2,65.4,2.1,0.506452
Wicomico County,MD,24.9,5.1,65.4,2.3,0.506295
Halifax County,VA,36.5,1.9,60.0,1.1,0.506259
Choctaw County,AL,42.7,0.7,55.8,0.5,0.50622
Buckingham County,VA,34.8,2.1,61.0,1.7,0.506041
Washington County,AL,24.5,1.3,65.4,1.3,0.50599
Marshall County,OK,1.9,15.7,67.4,5.9,0.505987
Onslow County,NC,15.8,11.8,67.3,4.1,0.505971
Burleson County,TX,12.7,19.6,66.3,1.4,0.505581
Collier County,FL,7.1,26.3,64.8,1.1,0.50557
Amite County,MS,41.2,1.0,57.0,0.8,0.505187
Madison County,AL,24.5,4.7,65.7,2.4,0.504851
Yalobusha County,MS,38.0,1.6,59.2,1.2,0.504723
Benton County,MS,36.7,2.2,60.0,1.0,0.50471
