County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index,"Percent of Blacks, Latino & Two Races"
Charles County,MD,43.1,5.0,45.7,3.6,0.600455,51.7
Calhoun County,TX,3.0,47.6,44.1,1.1,0.575457,51.7
Marshall County,MS,47.4,3.4,48.3,0.9,0.540785,51.699999999999996
Hockley County,TX,4.1,46.2,48.7,1.2,0.54735,51.50000000000001
McCormick County,SC,49.2,1.2,48.4,1.0,0.523422,51.400000000000006
Martinsville city,VA,45.0,4.4,48.0,2.0,0.564655,51.4
Telfair County,GA,36.2,14.1,50.1,1.0,0.5979,51.300000000000004
East Baton Rouge Parish,LA,46.0,3.9,45.9,1.3,0.574996,51.199999999999996
Swisher County,TX,7.7,42.1,49.3,1.3,0.57337,51.1
Lynn County,TX,2.5,47.0,49.4,1.6,0.53385,51.1
Baker County,GA,45.6,4.4,48.5,1.0,0.554672,51.0
Wilson County,NC,39.6,10.0,48.8,1.4,0.594718,51.0
Warren County,MS,47.9,2.0,48.5,0.9,0.534763,50.8
Dillon County,SC,46.5,2.5,47.1,1.8,0.560247,50.8
Texas County,OK,3.3,45.7,47.4,1.7,0.56384,50.7
Hoke County,NC,34.1,12.2,41.4,4.1,0.686301,50.4
Terrell County,TX,1.2,47.8,45.8,1.3,0.55917,50.3
Morehouse Parish,LA,47.8,1.3,49.8,1.0,0.523222,50.099999999999994
